word,english,first_person_present_singular,second_person_present_singular,third_person_present_singular,first_person_present_plural,second_person_present_plural,third_person_present_plural,first_person_future_singular_i,second_person_future_singular_i,third_person_future_singular_i,first_person_future_plural_i,second_person_future_plural_i,third_person_future_plural_i,first_person_future_singular_ii,second_person_future_singular_ii,third_person_future_singular_ii,first_person_future_plural_ii,second_person_future_plural_ii,third_person_future_plural_ii,first_person_past_perfect_singular,second_person_past_perfect_singular,third_person_past_perfect_singular,first_person_past_perfect_plural,second_person_past_perfect_plural,third_person_past_perfect_plural,first_person_past_pluperfect_singular,second_person_past_pluperfect_singular,third_person_past_pluperfect_singular,first_person_past_pluperfect_plural,second_person_past_pluperfect_plural,third_person_past_pluperfect_plural,first_person_past_imperfect_singular,second_person_past_imperfect_singular,third_person_past_imperfect_singular,first_person_past_imperfect_plural,second_person_past_imperfect_plural,third_person_past_imperfect_plural,first_person_past_aorist_singular,second_person_past_aorist_singular,third_person_past_aorist_singular,first_person_past_aorist_plural,second_person_past_aorist_plural,third_person_past_aorist_plural,first_person_conditional_i_singular,second_person_conditional_i_singular,third_person_conditional_i_singular,first_person_conditional_i_plural,second_person_conditional_i_plural,third_person_conditional_i_plural,first_person_conditional_ii_singular,second_person_conditional_ii_singular,third_person_conditional_ii_singular,first_person_conditional_ii_plural,second_person_conditional_ii_plural,third_person_conditional_ii_plural,first_person_imperative_singular,first_person_imperative_plural,second_person_imperative_plural
akomodirati,to accommodate,akomodiram,akomodiraš,akomodira,akomodiramo,akomodirate,akomodiraju,akomodirat ću,akomodirat ćeš,akomodirat će,akomodirat ćemo,akomodirat ćete,akomodirat će,budem akomodirao,budeš akomodirao,bude akomodirao,budemo akomodirali,budete akomodirali,budu akomodirali,akomodirao sam,akomodirao si,akomodirao je,akomodirali smo,akomodirali ste,akomodirali su,bio sam akomodirao,bio si akomodirao,bio je akomodirao,bili smo akomodirali,bili ste akomodirali,bili su akomodirali,akomodirah,akomodiraše,akomodiraše,akomodirasmo,akomodiraste,akomodirahu,akomodirah,akomodira,akomodira,akomodirasmo,akomodiraste,akomodiraše,akomodirao bih,akomodirao bi,akomodirao bi,akomodirali bismo,akomodirali biste,akomodirali bi,bio bih akomodirao,bio bi akomodirao,bio bi akomodirao,bili bismo akomodirali,bili biste akomodirali,bili bi akomodirali,akomodiraj,akomodirajmo,akomodirajte
akontirati,to advance,akontiram,akontiraš,akontira,akontiramo,akontirate,akontiraju,akontirat ću,akontirat ćeš,akontirat će,akontirat ćemo,akontirat ćete,akontirat će,budem akontirao,budeš akontirao,bude akontirao,budemo akontirali,budete akontirali,budu akontirali,akontirao sam,akontirao si,akontirao je,akontirali smo,akontirali ste,akontirali su,bio sam akontirao,bio si akontirao,bio je akontirao,bili smo akontirali,bili ste akontirali,bili su akontirali,akontirah,akontiraše,akontiraše,akontirasmo,akontiraste,akontirahu,akontirah,akontira,akontira,akontirasmo,akontiraste,akontiraše,akontirao bih,akontirao bi,akontirao bi,akontirali bismo,akontirali biste,akontirali bi,bio bih akontirao,bio bi akontirao,bio bi akontirao,bili bismo akontirali,bili biste akontirali,bili bi akontirali,akontiraj,akontirajmo,akontirajte
aktivirati,to activate,aktiviram,aktiviraš,aktivira,aktiviramo,aktivirate,aktiviraju,aktivirat ću,aktivirat ćeš,aktivirat će,aktivirat ćemo,aktivirat ćete,aktivirat će,budem aktivirao,budeš aktivirao,bude aktivirao,budemo aktivirali,budete aktivirali,budu aktivirali,aktivirao sam,aktivirao si,aktivirao je,aktivirali smo,aktivirali ste,aktivirali su,bio sam aktivirao,bio si aktivirao,bio je aktivirao,bili smo aktivirali,bili ste aktivirali,bili su aktivirali,aktivirah,aktiviraše,aktiviraše,aktivirasmo,aktiviraste,aktivirahu,aktivirah,aktivira,aktivira,aktivirasmo,aktiviraste,aktiviraše,aktivirao bih,aktivirao bi,aktivirao bi,aktivirali bismo,aktivirali biste,aktivirali bi,bio bih aktivirao,bio bi aktivirao,bio bi aktivirao,bili bismo aktivirali,bili biste aktivirali,bili bi aktivirali,aktiviraj,aktivirajmo,aktivirajte
aktivizirati,to activate,aktiviziram,aktiviziraš,aktivizira,aktiviziramo,aktivizirate,aktiviziraju,aktivizirat ću,aktivizirat ćeš,aktivizirat će,aktivizirat ćemo,aktivizirat ćete,aktivizirat će,budem aktivizirao,budeš aktivizirao,bude aktivizirao,budemo aktivizirali,budete aktivizirali,budu aktivizirali,aktivizirao sam,aktivizirao si,aktivizirao je,aktivizirali smo,aktivizirali ste,aktivizirali su,bio sam aktivizirao,bio si aktivizirao,bio je aktivizirao,bili smo aktivizirali,bili ste aktivizirali,bili su aktivizirali,aktivizirah,aktiviziraše,aktiviziraše,aktivizirasmo,aktiviziraste,aktivizirahu,aktivizirah,aktivizira,aktivizira,aktivizirasmo,aktiviziraste,aktiviziraše,aktivizirao bih,aktivizirao bi,aktivizirao bi,aktivizirali bismo,aktivizirali biste,aktivizirali bi,bio bih aktivizirao,bio bi aktivizirao,bio bi aktivizirao,bili bismo aktivizirali,bili biste aktivizirali,bili bi aktivizirali,aktiviziraj,aktivizirajmo,aktivizirajte
aktualizirati,to update,aktualiziram,aktualiziraš,aktualizira,aktualiziramo,aktualizirate,aktualiziraju,aktualizirat ću,aktualizirat ćeš,aktualizirat će,aktualizirat ćemo,aktualizirat ćete,aktualizirat će,budem aktualizirao,budeš aktualizirao,bude aktualizirao,budemo aktualizirali,budete aktualizirali,budu aktualizirali,aktualizirao sam,aktualizirao si,aktualizirao je,aktualizirali smo,aktualizirali ste,aktualizirali su,bio sam aktualizirao,bio si aktualizirao,bio je aktualizirao,bili smo aktualizirali,bili ste aktualizirali,bili su aktualizirali,aktualizirah,aktualiziraše,aktualiziraše,aktualizirasmo,aktualiziraste,aktualizirahu,aktualizirah,aktualizira,aktualizira,aktualizirasmo,aktualiziraste,aktualiziraše,aktualizirao bih,aktualizirao bi,aktualizirao bi,aktualizirali bismo,aktualizirali biste,aktualizirali bi,bio bih aktualizirao,bio bi aktualizirao,bio bi aktualizirao,bili bismo aktualizirali,bili biste aktualizirali,bili bi aktualizirali,aktualiziraj,aktualizirajmo,aktualizirajte
akumulirati,to accumulate,akumuliram,akumuliraš,akumulira,akumuliramo,akumulirate,akumuliraju,akumulirat ću,akumulirat ćeš,akumulirat će,akumulirat ćemo,akumulirat ćete,akumulirat će,budem akumulirao,budeš akumulirao,bude akumulirao,budemo akumulirali,budete akumulirali,budu akumulirali,akumulirao sam,akumulirao si,akumulirao je,akumulirali smo,akumulirali ste,akumulirali su,bio sam akumulirao,bio si akumulirao,bio je akumulirao,bili smo akumulirali,bili ste akumulirali,bili su akumulirali,akumulirah,akumuliraše,akumuliraše,akumulirasmo,akumuliraste,akumulirahu,akumulirah,akumulira,akumulira,akumulirasmo,akumuliraste,akumuliraše,akumulirao bih,akumulirao bi,akumulirao bi,akumulirali bismo,akumulirali biste,akumulirali bi,bio bih akumulirao,bio bi akumulirao,bio bi akumulirao,bili bismo akumulirali,bili biste akumulirali,bili bi akumulirali,akumuliraj,akumulirajmo,akumulirajte
alakati,to clamour or voice astonishment loudly,alačem,alačeš,alače,alačemo,alačete,alaču,alakat ću,alakat ćeš,alakat će,alakat ćemo,alakat ćete,alakat će,budem alakao,budeš alakao,bude alakao,budemo alakali,budete alakali,budu alakali,alakao sam,alakao si,alakao je,alakali smo,alakali ste,alakali su,bio sam alakao,bio si alakao,bio je alakao,bili smo alakali,bili ste alakali,bili su alakali,alakah,alakaše,alakaše,alakasmo,alakaste,alakahu,,,,,,,alakao bih,alakao bi,alakao bi,alakali bismo,alakali biste,alakali bi,bio bih alakao,bio bi alakao,bio bi alakao,bili bismo alakali,bili biste alakali,bili bi alakali,alači,alačimo,alačite
albanizirati,to Albanise,albaniziram,albaniziraš,albanizira,albaniziramo,albanizirate,albaniziraju,albanizirat ću,albanizirat ćeš,albanizirat će,albanizirat ćemo,albanizirat ćete,albanizirat će,budem albanizirao,budeš albanizirao,bude albanizirao,budemo albanizirali,budete albanizirali,budu albanizirali,albanizirao sam,albanizirao si,albanizirao je,albanizirali smo,albanizirali ste,albanizirali su,bio sam albanizirao,bio si albanizirao,bio je albanizirao,bili smo albanizirali,bili ste albanizirali,bili su albanizirali,albanizirah,albaniziraše,albaniziraše,albanizirasmo,albaniziraste,albanizirahu,,,,,,,albanizirao bih,albanizirao bi,albanizirao bi,albanizirali bismo,albanizirali biste,albanizirali bi,bio bih albanizirao,bio bi albanizirao,bio bi albanizirao,bili bismo albanizirali,bili biste albanizirali,bili bi albanizirali,albaniziraj,albanizirajmo,albanizirajte
alkoholizirati,to alcoholize,alkoholiziram,alkoholiziraš,alkoholizira,alkoholiziramo,alkoholizirate,alkoholiziraju,alkoholizirat ću,alkoholizirat ćeš,alkoholizirat će,alkoholizirat ćemo,alkoholizirat ćete,alkoholizirat će,budem alkoholizirao,budeš alkoholizirao,bude alkoholizirao,budemo alkoholizirali,budete alkoholizirali,budu alkoholizirali,alkoholizirao sam,alkoholizirao si,alkoholizirao je,alkoholizirali smo,alkoholizirali ste,alkoholizirali su,bio sam alkoholizirao,bio si alkoholizirao,bio je alkoholizirao,bili smo alkoholizirali,bili ste alkoholizirali,bili su alkoholizirali,alkoholizirah,alkoholiziraše,alkoholiziraše,alkoholizirasmo,alkoholiziraste,alkoholizirahu,alkoholizirah,alkoholizira,alkoholizira,alkoholizirasmo,alkoholiziraste,alkoholiziraše,alkoholizirao bih,alkoholizirao bi,alkoholizirao bi,alkoholizirali bismo,alkoholizirali biste,alkoholizirali bi,bio bih alkoholizirao,bio bi alkoholizirao,bio bi alkoholizirao,bili bismo alkoholizirali,bili biste alkoholizirali,bili bi alkoholizirali,alkoholiziraj,alkoholizirajmo,alkoholizirajte
alternirati,to alternate,alterniram,alterniraš,alternira,alterniramo,alternirate,alterniraju,alternirat ću,alternirat ćeš,alternirat će,alternirat ćemo,alternirat ćete,alternirat će,budem alternirao,budeš alternirao,bude alternirao,budemo alternirali,budete alternirali,budu alternirali,alternirao sam,alternirao si,alternirao je,alternirali smo,alternirali ste,alternirali su,bio sam alternirao,bio si alternirao,bio je alternirao,bili smo alternirali,bili ste alternirali,bili su alternirali,alternirah,alterniraše,alterniraše,alternirasmo,alterniraste,alternirahu,alternirah,alternira,alternira,alternirasmo,alterniraste,alterniraše,alternirao bih,alternirao bi,alternirao bi,alternirali bismo,alternirali biste,alternirali bi,bio bih alternirao,bio bi alternirao,bio bi alternirao,bili bismo alternirali,bili biste alternirali,bili bi alternirali,alterniraj,alternirajmo,alternirajte
aludirati,to allude,aludiram,aludiraš,aludira,aludiramo,aludirate,aludiraju,aludirat ću,aludirat ćeš,aludirat će,aludirat ćemo,aludirat ćete,aludirat će,budem aludirao,budeš aludirao,bude aludirao,budemo aludirali,budete aludirali,budu aludirali,aludirao sam,aludirao si,aludirao je,aludirali smo,aludirali ste,aludirali su,bio sam aludirao,bio si aludirao,bio je aludirao,bili smo aludirali,bili ste aludirali,bili su aludirali,aludirah,aludiraše,aludiraše,aludirasmo,aludiraste,aludirahu,aludirah,aludira,aludira,aludirasmo,aludiraste,aludiraše,aludirao bih,aludirao bi,aludirao bi,aludirali bismo,aludirali biste,aludirali bi,bio bih aludirao,bio bi aludirao,bio bi aludirao,bili bismo aludirali,bili biste aludirali,bili bi aludirali,aludiraj,aludirajmo,aludirajte
amerikanizirati,to Americanize,amerikaniziram,amerikaniziraš,amerikanizira,amerikaniziramo,amerikanizirate,amerikaniziraju,amerikanizirat ću,amerikanizirat ćeš,amerikanizirat će,amerikanizirat ćemo,amerikanizirat ćete,amerikanizirat će,budem amerikanizirao,budeš amerikanizirao,bude amerikanizirao,budemo amerikanizirali,budete amerikanizirali,budu amerikanizirali,amerikanizirao sam,amerikanizirao si,amerikanizirao je,amerikanizirali smo,amerikanizirali ste,amerikanizirali su,bio sam amerikanizirao,bio si amerikanizirao,bio je amerikanizirao,bili smo amerikanizirali,bili ste amerikanizirali,bili su amerikanizirali,amerikanizirah,amerikaniziraše,amerikaniziraše,amerikanizirasmo,amerikaniziraste,amerikanizirahu,amerikanizirah,amerikanizira,amerikanizira,amerikanizirasmo,amerikaniziraste,amerikaniziraše,amerikanizirao bih,amerikanizirao bi,amerikanizirao bi,amerikanizirali bismo,amerikanizirali biste,amerikanizirali bi,bio bih amerikanizirao,bio bi amerikanizirao,bio bi amerikanizirao,bili bismo amerikanizirali,bili biste amerikanizirali,bili bi amerikanizirali,amerikaniziraj,amerikanizirajmo,amerikanizirajte
amnestirati,to grant amnesty to,amnestiram,amnestiraš,amnestira,amnestiramo,amnestirate,amnestiraju,amnestirat ću,amnestirat ćeš,amnestirat će,amnestirat ćemo,amnestirat ćete,amnestirat će,budem amnestirao,budeš amnestirao,bude amnestirao,budemo amnestirali,budete amnestirali,budu amnestirali,amnestirao sam,amnestirao si,amnestirao je,amnestirali smo,amnestirali ste,amnestirali su,bio sam amnestirao,bio si amnestirao,bio je amnestirao,bili smo amnestirali,bili ste amnestirali,bili su amnestirali,amnestirah,amnestiraše,amnestiraše,amnestirasmo,amnestiraste,amnestirahu,amnestirah,amnestira,amnestira,amnestirasmo,amnestiraste,amnestiraše,amnestirao bih,amnestirao bi,amnestirao bi,amnestirali bismo,amnestirali biste,amnestirali bi,bio bih amnestirao,bio bi amnestirao,bio bi amnestirao,bili bismo amnestirali,bili biste amnestirali,bili bi amnestirali,amnestiraj,amnestirajmo,amnestirajte
